Elapsed Time (seconds),CO2 (ppm)
2,1259
4,1247
6,1231
8,1202
10,1201
12,1197
14,1191
16,1182
18,1174
20,1164
22,1154
24,1144
27,1133
29,1124
31,1102
33,1088
35,1080
37,1075
39,1076
41,1065
43,1063
45,1057
47,1051
49,1047
51,1043
53,1037
55,1034
58,1032
60,1020
62,1013
64,1003
66,998
68,995
70,996
72,992
74,990
76,987
78,983
80,978
82,977
85,977
87,972
89,969
91,966
93,966
95,963
97,962
99,961
101,957
103,955
105,958
107,957
109,956
111,955
113,955
116,951
118,949
120,949
122,951
124,950
126,950
128,952
130,951
132,951
134,951
136,951
138,951
140,950
143,950
145,950
147,950
149,950
151,950
153,950
155,950
157,950
159,950
161,949
163,949
165,949
167,950
169,950
172,950
174,950
176,951
178,951
180,951
182,951
184,952
186,953
188,953
190,954
192,955
194,954
196,955
199,955
201,955
203,955
205,954
207,954
209,954
211,954
213,953
215,952
217,952
219,952
221,952
223,952
225,952
227,951
230,952
232,952
234,952
236,952
238,952
240,952
242,952
244,952
246,952
248,952
250,952
252,952
254,952
257,954
259,954
261,954
263,954
265,955
267,955
269,955
271,956
273,956
275,957
277,958
279,958
281,958
283,959
285,959
288,960
290,962
292,963
294,963
296,964
298,963
300,964
302,965
304,965
306,966
308,966
310,968
312,973
314,980
316,990
319,995
321,1000
323,992
325,986
327,958
329,872
331,876
333,828
335,800
337,733
339,731
341,725
343,688
346,691
348,696
350,639
352,650
354,621
356,611
358,607
360,590
362,593
364,546
366,542
368,640
370,632
372,641
374,698
377,684
379,540
381,414
383,404
385,477
387,462
389,436
391,511
393,548
395,545
397,544
399,540
401,539
404,545
406,542
408,550
410,555
412,559
414,559
416,552
418,543
420,549
422,558
424,552
426,508
428,549
430,552
432,546
435,595
437,589
439,585
441,570
443,559
445,547
447,525
449,527
451,536
453,540
455,541
457,545
460,544
462,549
464,550
466,552
468,549
470,553
472,552
474,552
476,551
478,548
480,544
482,530
484,519
486,512
488,523
491,527
493,529
495,532
497,535
499,500
501,501
503,587
505,616
507,629
509,620
511,566
513,565
515,541
518,544
520,541
522,541
524,545
526,547
528,548
530,550
532,555
534,558
536,559
538,525
540,531
542,534
544,538
546,537
549,539
551,542
553,541
555,542
557,542
559,545
561,544
563,546
565,544
567,542
569,539
571,537
573,536
575,534
578,535
580,537
582,536
584,537
586,537
588,538
590,539
592,539
594,539
596,540
598,539
600,538
602,538
605,538
607,538
609,538
611,538
613,539
615,538
617,538
619,538
621,539
623,540
625,539
627,539
629,539
631,539
633,539
636,540
638,540
640,541
642,542
644,545
646,546
648,550
650,553
652,554
654,555
656,555
658,555
660,556
663,556
665,556
667,556
669,555
671,555
673,555
675,554
677,553
679,553
681,554
683,554
685,555
687,558
689,559
691,563
694,565
696,580
698,588
700,586
702,586
704,585
706,584
708,581
710,576
712,577
714,576
716,580
718,581
721,582
723,581
725,581
727,581
729,581
731,582
733,581
735,581
737,581
739,582
741,584
743,584
745,585
747,584
749,584
752,583
754,581
756,579
758,599
760,602
762,599
764,596
766,590
768,584
770,578
772,571
774,568
777,564
779,562
781,559
783,557
785,555
787,553
789,549
791,549
793,547
795,544
797,541
799,540
801,541
803,543
805,555
808,551
810,555
812,554
814,552
816,551
818,549
820,548
822,547
824,553
826,587
828,583
830,580
832,574
835,569
837,567
839,565
841,567
843,569
845,542
847,541
849,546
851,550
853,546
855,551
857,545
859,542
861,541
863,539
866,537
868,531
870,520
872,524
874,519
876,517
878,515
880,519
882,522
884,519
886,521
888,522
890,522
892,523
894,521
897,512
899,509
901,507
903,507
905,509
907,507
909,508
911,510
913,511
915,513
917,515
919,516
922,517
924,519
926,519
928,521
930,522
932,523
934,524
936,525
938,525
940,525
942,525
944,527
946,527
948,531
950,531
953,530
955,530
957,528
959,537
961,537
963,539
965,542
967,539
969,540
971,539
973,539
975,541
977,541
980,541
982,539
984,540
986,540
988,541
990,541
992,543
994,542
996,543
998,542
1000,541
1002,534
1004,519
1006,522
1008,519
1011,536
1013,545
1015,551
1017,554
1019,557
1021,556
1023,557
1025,556
1027,556
1029,555
1031,552
1033,553
1035,554
1038,554
1040,554
1042,552
1044,554
1046,556
1048,558
1050,542
1052,546
1054,545
1056,547
1058,548
1060,548
1062,548
1065,548
1067,549
1069,547
1071,548
1073,546
1075,546
1077,544
1079,546
1081,546
1083,538
1085,526
1087,527
1089,525
1092,525
1094,522
1096,524
1098,524
1100,523
1102,523
1104,521
1106,520
1108,522
1110,519
1112,522
1114,522
1116,522
1118,522
1120,521
1123,522
1125,524
1127,526
1129,517
1131,517
1133,515
1135,517
1137,514
1139,512
1141,514
1143,502
1145,505
1147,513
1149,514
1151,513
1154,511
1156,512
1158,513
1160,514
1162,515
1164,516
1166,523
1168,529
1170,536
1172,542
1174,548
1176,552
1178,556
1181,559
1183,566
1185,573
1187,577
1189,580
1191,582
1193,583
1195,584
1197,585
1199,586
1201,587
1203,586
1205,586
1207,585
1209,584
1212,582
1214,581
1216,580
1218,578
1220,576
1222,576
1224,576
1226,575
1228,597
1230,601
1232,608
1234,619
1237,648
1239,680
1241,703